1|63.19
2|23.86
3|12.19
4|9.54
5|23.76
6|14.46
7|32.94
8|96.28
9|8.53
10|77.43
11|17.64
12|34.52
13|59.87
14|62.25
15|92.13
16|42.4
17|52.54
18|89.37
19|80.54
20|19.41
21|53.23
22|92.25
23|74.95
24|28.32
25|39.3
26|5.56
27|84.22
28|29.32
29|93.81
30|17.28
31|32.12
32|11.89
33|14.98
34|52.11
35|23.48
36|49.8
37|26.43
38|17.16
39|24.7
40|17.29
41|45.8
42|49.39
43|20.11
44|95.22
45|49.41
46|20.70
47|14.58
48|98.40
49|81.54
50|1.6
51|58.15
52|35.3
53|96.48
54|97.59
55|87.44
56|75.54
57|22.95
58|96.72
59|11.28
60|34.67
61|28.26
62|24.20
63|7.12
64|72.96
65|66.85
66|71.95
67|77.58
68|1.31
69|69.89
70|78.25
71|83.71
72|74.14
73|14.49
74|46.68
75|67.18
76|75.8
77|67.20
78|61.37
79|39.16
80|4.10
81|59.97
82|55.53
83|15.86
84|11.95
85|56.0
86|91.82
87|24.73
88|82.58
89|14.9
90|20.92
91|12.45
92|34.16
93|79.78
94|78.94
95|17.8
96|48.64
97|14.85
98|48.1
99|1.82
100|97.42
